Date,Open,High,Low,Close,Adj Close,Volume,prev_close,daily_return
2010-01-04,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,86.86005401611328,118944600,,
2010-01-05,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,87.09000396728516,111579900,113.33000183105469,0.0026470962456217606
2010-01-06,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,87.15132904052734,116074400,113.62999725341797,0.0007040555574093776
2010-01-07,113.5,114.33000183105469,113.18000030517578,114.19000244140625,87.51921081542969,131091100,113.70999908447266,0.0042212941763988265
2010-01-08,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,87.81044006347656,126402800,114.19000244140625,0.003327762897745501
2010-01-11,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,87.93307495117188,106375700,114.56999969482422,0.001396558108890389
2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,87.1130142211914,163333500,114.7300033569336,-0.009326241292745063
2010-01-13,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,87.84876251220703,161822000,113.66000366210938,0.008446234854316614
2010-01-14,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,88.08637237548828,115718800,114.62000274658203,0.0027045677121395606
2010-01-15,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,87.09764862060547,212283100,114.93000030517578,-0.011224231376507299
2010-01-19,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,88.18598937988281,139172700,113.63999938964844,0.01249558409514262
2010-01-20,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,87.28926849365234,216490200,115.05999755859375,-0.010168591984799025
2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,85.61077117919922,344859600,113.88999938964844,-0.01922910223147567
2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,83.70233154296875,345942400,111.69999694824219,-0.022291834662478194
2010-01-25,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,84.13153839111328,186937500,109.20999908447266,0.0051277132431857275
2010-01-26,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,83.77901458740234,211168800,109.7699966430664,-0.004190572092011791
2010-01-27,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,84.17754364013672,271863600,109.30999755859375,0.0047571519904408
2010-01-28,110.19000244140625,110.25,107.91000366210938,108.56999969482422,83.21183013916016,316104000,109.83000183105469,-0.01147229459368182
2010-01-29,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,82.30741119384766,310677600,108.56999969482422,-0.01086856690147009
